id,subject,body,t1_final,t2_final
37401,Policy General,"Hello!

When my item arrived at my local shop, I was away on vacation, so I called them, and asked them to hold on to my parcel untill I came back. When I got back, they had returned it, telling met hat the carrier told them, that they could not keep it any longer than two weeks.

I would like you to send it again and will off course pay for the extra expences.

Best regards

Mette Brøns Sørensen



Fra: customerhelp@ebay.com [mailto:customerhelp@ebay.com]
Sendt: 6. oktober 2016 02:07
Til: met-s2@online.no
Emne: eBay item undeliverable to your address - SR# 1-88173830209



  <http://p.eBaystatic.com/aw/pics/logos/logoEBay_x45.gif>

eBay item undeliverable to your address - SR# 1-88173830209



Hello srenno3,

We're having trouble delivering your order of eBay item 152181109275 from dareng1970 (ORA: A1519588676NO). This is usually caused by an incomplete or unrecognized address or phone number.

Please review the delivery address and phone number. The address we tried to deliver to is Aa,,Dverberg,default,8485,Norway.  The phone number is 47281844.

If these details are incorrect, please edit them here:
http://payments.ebay.com/ws/eBayISAPI.dll?UserAddresses <http://payments.ebay.com/ws/eBayISAPI.dll?UserAddresses&cmd=standalone> &cmd=standalone

Note: We can't ship to an address in a different country than originally listed. Also, we don’t shi",Specialty,Logistics - CCR
37402,,"Hey,

The phone is unlocked. The issue is that the phone is an unlocked GSM phone, while Verizon is a CDMA carrier. The buyer purchased the phone thinking it would work with Verizon, since the description said it was unlocked. No unlocked GSM phone will work with Verizon, unless it is also CDMA capable.

Thanks.

Dan

> On Oct 6, 2016, at 5:16 PM, highvalueclaimsinfo@ebay.com wrote:
> 
> 
> Important Case (5114912199) Update from eBay customer support SR# 1-88277727563
> 
> 
> Hello Daniel,
>  
> We are following up with you today in regards to the Black iPhone 7 Plus 256GB (eBay item: 182275053104) you recently sold. We understand that your customer has opened a case because the Black iPhone 7 Plus 256GB the phone is factory locked.We understand that this has been an upsetting transaction and appreciate your continued patience. We want to work together with you to resolve this issue on both sides.
>  
> We also appreciate your patience while we respond to your email. We have had a recent influx of emails, and since each one is answered personally it has taken us some time to reply to everyone.
>  
> Because of the nature of the complaint, we'd like to have as much information as possible to make sure we make an appropriate decision. We have put the case on hold until 10/11/2016 to allow your buyer time to provide the additional documentation we requested.
",M2M Escalation,Buyer Protect High ASP Claim
37403,,NULL,Specialty,Logistics - CCR
37404,Policy General,"Vi confermo che indirizzo e numero di telefono sono corretti:

via di Torre Argentina 44,,Roma,RM,00186,Italy.  Il numero di telefono è 3498566050.

Grazie
Fabrizio Rondolino
Il giorno 06/ott/2016, alle ore 02:04, customerhelp@ebay.com ha scritto:

> 
> Oggetto eBay non consegnabile al tuo indirizzo - SR# 1-88173773193
> 
> 
> Gentile rondolone,
> Stiamo riscontrando problemi con la consegna del tuo ordine per l'oggetto eBay 152172215390 messo in vendita da zoemc648 (ORA: A1515142001IT). In genere questo si verifica a causa di un indirizzo o numero di telefono incompleti o non riconosciuti.
> 
> Ti preghiamo di controllare l'indirizzo e il numero di telefono per la consegna. L'indirizzo a cui abbiamo tentato di effettuare la consegna è via di Torre Argentina 44,,Roma,RM,00186,Italy.  Il numero di telefono è 3498566050.
> 
> Se questi dettagli non sono corretti, modificali qui:
> http://payments.ebay.it/ws/eBayISAPI.dll?UserAddresses&cmd=standalone
> 
> Nota: non possiamo effettuare la spedizione a un indirizzo in un paese diverso da quello in cui l'oggetto è stato messo in vendita inizialmente. Inoltre, non effettuiamo spedizioni a caselle postali o centri di recapito.
> 
> --Una volta che hai aggiornato l'indirizzo, non è necessario che ci contatti.--
> 
> Se invece l'indirizzo di spedizione e il numero di telefono sono corretti, comunicacelo rispondend",Specialty,Logistics - CCR
37405,Listing(s) uses unauthorized copy of copyrighted image and text [Case #429350],"
Notice of Claimed Infringement - Statutory Declaration


eBay International A.G.
Attn: VeRO Programme


Fax: +44 (0) 870 458 4522

Date: 05-Oct-2016

Dear eBay,

I, Brenda Readman-Bell of J. Barbour & Sons Ltd do solemnly and sincerely declare as follows:

- I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner's rights according to English law; and

- I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:
Address of the rights owner:

I may be contacted at:

Name of IP Owner: J. Barbour & Sons Ltd
Name and Title of the author of the Notice: Brenda Readman-Bell
Company of the author of the Notice: J. Barbour & Sons Ltd
Address: Simonside, South Shields, Tyne & Wear,  NE34 9PD
Email address (for communication with eBay): barbour@enforcements.markmonitor.com
email address (for communication with sellers)*: brandprotection@mm-barbour.com
Telephone: 0044.208.6851875
Fax: 0044.208.6851875

* please fill in, if you wish to have a different address.

In addition to the undersigned, the following",e2M Listing,VeRO - CCR
37406,eBay Mobile 5.3.0 iOS 10.0.2 - AM,"
can you send me the tracking number ??
Its shipped by global shipping program seller tell me the track number is.  940550969993881570719
how can i chek the info??
Device: iPhone (iPhone7,2)
OS: 10.0.2
App Version: 5.3.0
User ID: vakboy
eBay Site: Russian Federation


Sent from my iPhone
",Specialty,Logistics - CCR
37407,,NULL,Specialty,Logistics - CCR
37408,eBay Concierge,"Sent:	2016-10-05 00:17:52.0

Subject:	eBay Concierge

Enter your question / concern:	A seller on ebay under the username "" beautybar12"" is using my image for their listing. The item # for their listing is 331979168378 . It even clearly has my ""thebestbeautyfinds"" watermark on their image which clearly shows it is mine.It is confusing to buyers as they see both listings with two of the same images and this is not right. I contacted the seller and nicely requested them to remove my image but they have not responded nor have they removed my image.I ask ebay to please remove their listing, they should not be allowed to use my picture which clearly has my ebay store TheBestBeautyFinds clearly written across the products.If you can get back to me and let me know if this can be done I would greatly appreciate it.

Send a copy to my email address.:	on",e2M Listing,VeRO - CCR
37409,RE: eBay VeRO Programme - NOCI Received - More Information Requested,"Hi,



Thankyou for the enquiry.



We feel the sellers products (left) use our trademarked 2 petal poppy and are counterfeits of our official products (right).



[Poppy Brooch Crystal Flower Badge Pins Poppies Broach Enamel Badges Gift typ 2]<http://www.ebay.co.uk/itm/Poppy-Brooch-Crystal-Flower-Badge-Pins-Poppies-Broach-Enamel-Badges-Gift-typ-2-/331976796288?hash=item4d4b5be880:g:VFsAAOSwzaJX4WSs> [cid:image002.jpg@01D21EEF.EE9847E0]

[http://i.ebayimg.com/images/g/ZLwAAOSwTA9X4WYc/s-l1600.jpg] [cid:image010.jpg@01D21EEF.EE9847E0]



Kind Regards,



James

Registered Charity Number: 219279.
This message is confidential. It may also be privileged or otherwise protected by legal rules.

-----Original Message-----
From: vero@ebay.co.uk [mailto:vero@ebay.co.uk]
Sent: Tuesday, October 04, 2016 6:46 PM
To: Corporatepartnerships
Subject: eBay VeRO Programme - NOCI Received - More Information Requested



Hello,



Thank you for contacting the VeRO Programme.



We reviewed the Notice of Claimed Infringement you sent us today and the items you identified.



men_jewellery_only

331976796288

331976801394



The Verified Rights Owner (VeRO) Programme is designed to process reports of intellectual property infringement. From the information provided, however, the nature of intellectual property infringement you are attempting to",e2M Listing,VeRO - CCR
37410,Listing(s) uses unauthorized copy of copyrighted text [Case #429348],"
Notice of Claimed Infringement - Statutory Declaration


eBay International A.G.
Attn: VeRO Programme


Fax: +44 (0) 870 458 4522

Date: 05-Oct-2016

Dear eBay,

I, Brenda Readman-Bell of J. Barbour & Sons Ltd do solemnly and sincerely declare as follows:

- I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner's rights according to English law; and

- I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:
Address of the rights owner:

I may be contacted at:

Name of IP Owner: J. Barbour & Sons Ltd
Name and Title of the author of the Notice: Brenda Readman-Bell
Company of the author of the Notice: J. Barbour & Sons Ltd
Address: Simonside, South Shields, Tyne & Wear,  NE34 9PD
Email address (for communication with eBay): barbour@enforcements.markmonitor.com
email address (for communication with sellers)*: brandprotection@mm-barbour.com
Telephone: 0044.208.6851875
Fax: 0044.208.6851875

* please fill in, if you wish to have a different address.

In addition to the undersigned, the following",e2M Listing,VeRO - CCR
